Date,AAPL AMD_cum_rets,GOOGL AMD_cum_rets,GOOGL UNH_cum_rets,TM MRK_cum_rets,META HD_cum_rets,JNJ LLY_cum_rets
2020-12-30,1.0766786290460333,1.1129192293634953,1.041011146782878,0.9987531577858068,1.0789476555963964,1.0523661248054532
2020-12-31,1.0766786290460333,1.1129192293634953,1.038655100217433,0.9987531577858068,1.07758809441628,1.053305323483729
2021-01-04,1.0605377668399785,1.1129192293634953,1.0344906495839097,0.9987531577858068,1.0820767396856004,1.046490930539492
2021-01-05,1.063680630320298,1.1129192293634953,1.045962481722136,0.9987531577858068,1.0820767396856004,1.043803347499027
2021-01-06,1.0596498352214176,1.1129192293634953,1.045962481722136,0.9987531577858068,1.0820767396856004,1.034747092627468
2021-01-07,1.0511951806517366,1.1129192293634953,1.0541633266467927,0.9872533222914307,1.0950087262651058,1.0388369627742118
2021-01-08,1.0586182779459292,1.1129192293634953,1.0639894025803585,0.9943300916999613,1.088578605087668,1.0425007398313755
2021-01-11,1.0353359758088654,1.1129192293634953,1.0639894025803585,0.9856626375113771,1.067492849827171,1.0948189058752407
2021-01-12,1.046107092628966,1.119402248979067,1.0639894025803585,0.9925656132259862,1.051603087999929,1.1143823143866016
2021-01-13,1.0722547246200014,1.1413264001991759,1.0639894025803585,0.9940336711884549,1.0607178906328358,1.0991203891101786
2021-01-14,1.0756474279404526,1.1413264001991759,1.0639894025803585,0.9940336711884549,1.063528437414544,1.1075560978172707
2021-01-15,1.0699205964141543,1.1413264001991759,1.065354088673464,1.009436319165642,1.0642466200736966,1.0995787409988855
2021-01-19,1.0751421314473815,1.1341626646321654,1.051177537764993,1.011217375994802,1.0881657238489744,1.0914238221914934
2021-01-20,1.0577250222398742,1.1086562411913654,1.0261998981339178,1.0222700071323452,1.078269344207866,1.0882746530887524
2021-01-21,1.0572389089672565,1.1258936232854033,1.0336056912744216,1.0222700071323452,1.077031093966114,1.0887157745726346
2021-01-22,1.0585713617698538,1.1329981268487763,1.0246192977085968,1.032274498352546,1.0824062203693163,1.0893746344734472
2021-01-25,1.054818214897944,1.1413619140923037,1.027938647404102,1.0368171369901864,1.0780300179038926,1.0862095522048025
2021-01-26,1.0596970409567605,1.1413619140923037,1.0216562396465967,1.0368171369901864,1.067625903586277,1.1016587739290427
2021-01-27,1.0374586735009068,1.1413619140923037,1.0349029772828406,1.0368171369901864,1.0713301844249334,1.093712728240605
2021-01-28,1.0526897058113875,1.1413619140923037,1.0343290858604486,1.0368171369901864,1.090697036860741,1.0935915826577551
2021-01-29,1.064354005944929,1.1413619140923037,1.0314062312091354,1.0368171369901864,1.0924745731182512,1.1024817607180166
2021-02-01,1.064354005944929,1.1413619140923037,1.045179223631923,1.0368171369901864,1.101055431351126,1.0893536295284048
2021-02-02,1.064354005944929,1.144487322985015,1.045179223631923,1.0368171369901864,1.10638266522241,1.0784323939899678
2021-02-03,1.0644800786182949,1.1100513732418034,1.045179223631923,1.0368171369901864,1.10638266522241,1.0781584818484582
2021-02-04,1.075218307752287,1.1180563647524515,1.0420124498314516,1.0314127317087103,1.10638266522241,1.0837859133040115
2021-02-05,1.0711961426360264,1.1163816139140892,1.0345082446091298,1.0236935521248995,1.10638266522241,1.075917576330888
2021-02-08,1.052120258604026,1.1406418027281746,1.0430878538475339,1.0161419488898915,1.10638266522241,1.0828810487734128
2021-02-09,1.0519053476845008,1.1406418027281746,1.0589406658082043,1.0168917429439202,1.10638266522241,1.0686659883343257
2021-02-10,1.0427065096935209,1.1406418027281746,1.0589406658082043,0.9974690724977732,1.10638266522241,1.0731572631130348
2021-02-11,1.0411945160655476,1.1406418027281746,1.0555017432362825,1.010505989535739,1.10638266522241,1.072580766902466
2021-02-12,1.0375545422474381,1.1406418027281746,1.0592606114517378,1.0121175712093102,1.10638266522241,1.0812314918342318
2021-02-16,1.0431712872353303,1.1406418027281746,1.0631768580845613,1.0243215698894037,1.10638266522241,1.0812314918342318
2021-02-17,1.0436976564747844,1.1406418027281746,1.0571342560573858,1.0135994002528588,1.1169899574424178,1.0812314918342318
2021-02-18,1.0472864953662742,1.1406418027281746,1.0479722964451643,1.0028724693848559,1.1169899574424178,1.0812314918342318
2021-02-19,1.0472864953662742,1.1406418027281746,1.0460230061745623,1.0085589314536338,1.1102700653567763,1.0886353126920152
2021-02-22,1.0472864953662742,1.1406418027281746,1.0309536254030627,0.9997315200487717,1.116064956690873,1.0878767545285148
2021-02-23,1.044406075296001,1.1406418027281746,1.0281098159078728,1.0020404351132237,1.1411503924323865,1.095552653145344
2021-02-24,1.0581934170483935,1.1406418027281746,1.028394793444572,0.9998786797380468,1.1327752260000854,1.095552653145344
2021-02-25,1.0581934170483935,1.1406418027281746,1.0162727173529755,0.9889222959405692,1.1439654504634789,1.095552653145344
2021-02-26,1.0581934170483935,1.1406418027281746,1.01280713507073,0.9973508882290073,1.14517567558919,1.095552653145344
2021-03-01,1.0581934170483935,1.1397056862537667,1.0202392442731427,1.0025230968269596,1.13900934131789,1.0962950963859825
